id;spec_code;spec_title;description;spec_quantity;guide_price;spec_price;show_price;spec_status;images;sell_count;stock_count;created_at;updated_at
1;next switch;prise;promenade quizzically;14919;31737.5;20833.84;13585.1;PRE;minus nearly swiftly;14363;3238;2024-08-15T23:32:57;2024-08-16T07:07:45
2;huzzah;wisely derive;pure following rigidly;15631;485.57;1423.59;1513.12;EXP;origin bias whether;13758;3875;2024-08-15T23:57:02;2024-08-16T01:58:01
3;plus reliable mark;instrument officiate;zesty;31402;16265.42;29364.21;8603.81;HOT;since shipwreck;24682;32761;2024-08-15T16:38:30;2024-08-15T11:56:23
4;afore so for;where different;miniaturize;6430;9046.73;25670.57;8925.01;DOWN;excited molder;3179;31140;2024-08-16T08:12:31;2024-08-15T11:28:42
5;once;instantly lest pfft;beef;11037;11477.37;18835.64;18467.18;HOT;multicast;30310;21811;2024-08-16T07:36:13;2024-08-16T07:10:26
6;corporatism athwart traumatic;wreak;runny;19075;30054.84;29479.49;7741.95;EXP;so;15577;27125;2024-08-15T22:01:33;2024-08-16T01:16:43
7;oh tugboat baulk;slow unabashedly aboard;annually;20191;1785.22;5406.29;15649.01;PRE;swift lest after;10354;15956;2024-08-15T20:00:36;2024-08-15T14:31:36
8;amid;orangutan as enormous;regular;30451;18996.2;8441.73;26618.06;PRE;loudly bird;7810;23993;2024-08-16T05:58:08;2024-08-15T13:48:44
9;per kielbasa;cruelly atop perch;consequently sheepishly forest;10869;11783.7;23324.63;27059.69;EXP;since highly cheery;31101;10368;2024-08-16T01:15:57;2024-08-16T06:08:20
10;er faithful;rarely courageously annually;murky;18520;10589.34;25953.22;23032.16;DOWN;qualified;20714;29962;2024-08-15T10:58:06;2024-08-15T15:40:40
