id;number;status;total;shipping;payable;tax;discount;is_paid;is_completed;created_at;updated_at
1;16527;evenly assay;3443.65;1093.05;19184.77;11984.93;22683.5;true;true;2024-08-18T07:51:33;2024-08-18T12:40:09
2;28685;urban kookily;32604.13;31749.29;15353.08;9189.46;5563.69;false;false;2024-08-18T18:48:04;2024-08-18T04:06:40
3;17292;aha mortally;1506.17;10999.78;148.67;15063.96;11566.9;true;true;2024-08-18T06:11:13;2024-08-18T06:08:02
4;13087;when;26631.98;8076.76;2762.31;17519.88;12091.2;false;true;2024-08-18T06:21:40;2024-08-18T14:15:06
5;3400;whether as figure;25655.52;1110.37;23675.09;21379.03;30738.19;false;true;2024-08-18T07:02:40;2024-08-18T14:52:09
6;6881;instead sunlight;28467.19;21792.67;17067.99;23094.04;3447.31;true;true;2024-08-18T08:47:57;2024-08-18T16:03:23
7;23238;yowza divert;31233.48;1730.54;13305.01;14426.95;3705.02;false;false;2024-08-18T15:37:46;2024-08-18T08:08:54
8;28802;oh;2202.15;30080.23;26576.52;220.76;24742.03;false;false;2024-08-18T15:48:29;2024-08-18T20:12:03
9;1311;litter handy fooey;14125.93;8853.57;30650.38;21996.14;27694.23;false;false;2024-08-19T00:34:17;2024-08-18T12:58:13
10;2375;ha volunteering;19353.71;17761.58;16752.23;8539.13;3278.37;true;false;2024-08-18T10:22:58;2024-08-18T15:11:30
